,Artist,Event_Name,url,Country,City,Date,Max_price,Min_price,Currency,Location
241,Red Velvet,Red Velvet Supreme and more!,https://www.ticketweb.com/event/red-velvet-supreme-and-more-map-room-at-bowery-electric-tickets/12861705,United States Of America,New York,2023-02-16,7.0,7.0,USD,"{'longitude': '-73.99168', 'latitude': '40.725694'}"
243,Clairo,The Sling Tour: Clairo with Arlo Parks,https://www.ticketmaster.ca/the-sling-tour-clairo-with-arlo-vancouver-british-columbia-01-26-2024/event/11005AEDC85A17E2,Canada,Vancouver,2024-01-26,129.5,44.5,CAD,"{'longitude': '-123.1211044', 'latitude': '49.2804917'}"
244,Arctic Monkeys,Arctic Monkeys,https://www.ticketmaster.com/arctic-monkeys-inglewood-california-09-29-2023/event/09005D3D07C37419,United States Of America,Inglewood,2023-09-29,129.5,49.5,USD,"{'longitude': '-118.341868', 'latitude': '33.9583'}"
247,One Direction,ONE DIRECTION PARTY with Blade Trip,https://www.ticketweb.com/event/one-direction-party-with-blade-transplants-brewing-company-tickets/12714145,United States Of America,Palmdale,2023-02-19,12.0,12.0,USD,"{'longitude': '-118.190148', 'latitude': '34.618276'}"
248,Oasis,Definitely Oasis,https://www.ticketweb.uk/event/definitely-oasis-kasbah-tickets/12586275?REFERRAL_ID=tmfeed,Great Britain,Coventry,2023-02-24,Unknown,Unknown,Unknown,"{'longitude': '-1.502767', 'latitude': '52.41312'}"
250,Mabel,Mabel Matiz - Live In Europe,https://www.ticketmaster.be/event/mabel-matiz-live-in-europe-tickets/54867,Belgium,Antwerp,2023-04-30,79.46,34.82,EUR,"{'longitude': '4.40989', 'latitude': '51.21579'}"
253,Wallows,Wallows,https://www.ticketmaster.com.mx/wallows-ciudad-de-mexico-30-03-2023/event/3D005E47847E086F,Mexico,Ciudad de México,2023-03-30,800.0,800.0,MXN,"{'longitude': '-99.1954', 'latitude': '19.424682'}"
257,Dean Lewis,Dean Lewis,https://www.ticketmaster.co.uk/dean-lewis-london-26-03-2023/event/1F005D2FBB9432AA,Great Britain,London,2023-03-26,30.25,30.25,GBP,"{'longitude': '-0.151324', 'latitude': '51.543051'}"
258,Manuel Turizo,Manuel Turizo,https://www.ticketmaster.com.mx/manuel-turizo-zapopan-23-03-2023/event/14005E3ABF536402,Mexico,Zapopan,2023-03-23,1790.0,390.0,MXN,"{'longitude': '-103.38112', 'latitude': '20.73324'}"
260,Meek Mill,Rolling Loud Portugal 2023,https://www.ticketweb.uk/event/rolling-loud-portugal-2023-praia-da-rocha-tickets/12892275?REFERRAL_ID=tmfeed,Great Britain,Portugal,2023-07-05,Unknown,Unknown,Unknown,"{'longitude': '8.5354', 'latitude': '37.1166'}"
264,Surfaces,EARTH SURFACE PEOPLE,https://www.ticketweb.com/event/earth-surface-people-valley-bar-tickets/12894435,United States Of America,Phoenix,2023-04-14,13.0,13.0,USD,"{'longitude': '-112.074318', 'latitude': '33.449979'}"
265,Sam Feldt,Sam Feldt,https://www.ticketweb.com/event/sam-feldt-ocean-casino-resort-tickets/12892155?REFERRAL_ID=tmfeed,United States Of America,Atlantic City,2023-04-22,Unknown,Unknown,Unknown,"{'longitude': '-74.413699', 'latitude': '39.362536'}"
267,Ozuna,Ozuna,https://www.ticketmaster.com/ozuna-seattle-washington-09-21-2024/event/0F005C9391EE550B,United States Of America,Seattle,2024-09-21,164.0,44.0,USD,"{'longitude': '-122.35401604', 'latitude': '47.6221261'}"
273,ROSALÍA,ROSALÍA X BAD BUNNY NIGHT // REGGAETON / HIP HOP / NEOPERREO / URBANO,https://www.ticketweb.com/event/rosala-x-bad-bunny-night-crescent-ballroom-tickets/12859225,United States Of America,Phoenix,2023-02-17,10.0,10.0,USD,"{'longitude': '-112.076837', 'latitude': '33.451777'}"
275,Luke Combs,Luke Combs w/ Riley Green,https://www.ticketmaster.com/event/Z7r9jZ1Adp_aE,United States Of America,Arlington,2023-03-25,Unknown,Unknown,Unknown,"{'longitude': '-97.082397', 'latitude': '32.7542'}"
279,Adele,Weekends with Adele,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada-02-25-2023/event/39005B62BB4E9591,United States Of America,Las Vegas,2023-02-25,688.07,90.83,USD,"{'longitude': '-115.175058', 'latitude': '36.116156'}"
280,Chris Brown,Chris Brown,https://www.ticketmaster.co.uk/chris-brown-manchester-09-03-2023/event/1F005D88BEFD3320,Great Britain,Manchester,2023-03-09,100.0,0.0,GBP,"{'longitude': '-2.244066', 'latitude': '53.488164'}"
282,NAV,NAV,https://www.ticketmaster.com/event/Z7r9jZ1AdjAP4,United States Of America,San Diego,2023-03-18,Unknown,Unknown,Unknown,"{'longitude': '-117.195999', 'latitude': '32.777599'}"
283,Logic,No Simple Disruption,https://www.ticketweb.com/event/no-simple-disruption-salvage-station-indoor-tickets/12748995,United States Of America,Asheville,2023-02-15,20.0,20.0,USD,"{'longitude': '-82.572099', 'latitude': '35.594501'}"
284,Lil Yachty,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,2023-03-03,Unknown,Unknown,Unknown,"{'longitude': '-118.3368854', 'latitude': '33.95371247'}"
